# Energy Eigenvalues:,4.934802,19.739209,44.413221,78.956839,123.370071
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5
-1.588628762541806072e-01,1.241710750177563272e+00,1.188615463280529694e+00,-1.039202307455078383e-01,-1.288092089391501327e+00,-1.129093321159784002e+00
-1.555183946488294389e-01,1.248753962663537553e+00,1.172251499659915597e+00,-1.483181527221876794e-01,-1.311483233826223005e+00,-1.082819637471447605e+00
-1.521739130434782705e-01,1.255659317695770216e+00,1.155369902777298341e+00,-1.925687219544839623e-01,-1.332558177674525446e+00,-1.033558139415336141e+00
-1.488294314381271022e-01,1.262426052950624822e+00,1.137978127070625511e+00,-2.366279759019375983e-01,-1.351279700638222447e+00,-9.814447537960500068e-01
-1.454849498327759338e-01,1.269053421407534854e+00,1.120083852258451085e+00,-2.804521420940960796e-01,-1.367614738777890526e+00,-9.266232766055749748e-01
-1.421404682274247655e-01,1.275540691431472418e+00,1.101694979948788289e+00,-3.239976816180667463e-01,-1.381534442906843241e+00,-8.692449762483068776e-01
-1.387959866220735972e-01,1.281887146853717185e+00,1.082819630149982171e+00,-3.672213323740334268e-01,-1.393014229541458482e+00,-8.094681761475160942e-01
-1.354515050167224288e-01,1.288092087050919377e+00,1.063466137685141311e+00,-4.100801520557613156e-01,-1.402033824317883370e+00,-7.474578178849635712e-01
-1.321070234113712605e-01,1.294154827022444776e+00,1.043643048511715854e+00,-4.525315608133899659e-01,-1.408577297798433436e+00,-6.833850060790914727e-01
-1.287625418060200921e-01,1.300074697465996687e+00,1.023359115947842568e+00,-4.945333835561291913e-01,-1.412633093604451551e+00,-6.174265362576032423e-01
-1.254180602006689238e-01,1.305851044851503939e+00,1.002623296807126252e+00,-5.360438918528304120e-01,-1.414194048825940131e+00,-5.497644070271701100e-01
-1.220735785953177555e-01,1.311483231493268953e+00,9.814447474435628038e-01,-5.770218453888058541e-01,-1.413257406671921679e+00,-4.805853178863284669e-01
-1.187290969899665871e-01,1.316970635620363872e+00,9.598328197083512148e-01,-6.174265329377082168e-01,-1.409824821339185741e+00,-4.100801540672495138e-01
-1.153846153846154188e-01,1.322312651445273213e+00,9.377970568203791712e-01,-6.572178128077659220e-01,-1.403902355090825171e+00,-3.384434598278527329e-01
-1.120401337792641949e-01,1.327508689230769701e+00,9.153471891522061421e-01,-6.963561527221916458e-01,-1.395500467549717794e+00,-2.658729016476009122e-01
-1.086956521739130266e-01,1.332558175355019303e+00,8.924931299334061263e-01,-7.348026690941393824e-01,-1.384633997225866775e+00,-1.925687228081846281e-01
-1.053511705685618582e-01,1.337460552374905909e+00,8.692449708731622149e-01,-7.725191656572004684e-01,-1.371322135310219181e+00,-1.187331908640477246e-01
-1.020066889632106899e-01,1.342215279087572100e+00,8.456129777040534146e-01,-8.094681714130456118e-01,-1.355588391781249236e+00,-4.457003952736712793e-02
-9.866220735785952156e-02,1.346821830590164470e+00,8.216075856489958307e-01,-8.456129778585244061e-01,-1.337460553884163961e+00,2.971609349252830878e-02
-9.531772575250835322e-02,1.351279698337781721e+00,7.972393948133422725e-01,-8.809176754552310307e-01,-1.316970637056060101e+00,1.039202311441290855e-01
-9.197324414715718488e-02,1.355588390199615745e+00,7.725191655041735439e-01,-9.153471893053058972e-01,-1.294154828383702549e+00,1.778376226250597825e-01
-8.862876254180601654e-02,1.359747430513281063e+00,7.474578134788499861e-01,-9.488673139980293714e-01,-1.269053422693785071e+00,2.512643083491065688e-01
-8.528428093645484820e-02,1.363756360137325707e+00,7.220664051249205961e-01,-9.814447475925885955e-01,-1.241710751388543033e+00,3.239976827300489193e-01
-8.193979933110367986e-02,1.367614736501918227e+00,6.963561525735175728e-01,-1.013047124703254198e+00,-1.212175104152399374e+00,3.958370532294110955e-01
-7.859531772575251152e-02,1.371322133657707054e+00,6.703384087483948983e-01,-1.043643048654098404e+00,-1.180498643667919456e+00,4.665841941255588488e-01
-7.525083612040134318e-02,1.374878142322842001e+00,6.440246623527966507e-01,-1.073202122671308878e+00,-1.146737313491692722e+00,5.360438934761297958e-01
-7.190635451505017484e-02,1.378282369928158779e+00,6.174265327963692762e-01,-1.101694980082108311e+00,-1.110950739252842601e+00,6.040244917645707368e-01
-6.856187290969900650e-02,1.381534440660515450e+00,5.905557650643572520e-01,-1.129093313490278971e+00,-1.073202123348654169e+00,6.703384107444977369e-01
-6.521739130434783815e-02,1.384633995504282122e+00,5.634242245313485498e-01,-1.155369902899304080e+00,-1.033558133323300154e+00,7.348026710226454039e-01
-6.187290969899666981e-02,1.387580692280974359e+00,5.360438917218586230e-01,-1.180498642755188676e+00,-9.920887841267972407e-01,7.972393969522411084e-01
-5.852842809364550147e-02,1.390374205687028519e+00,5.084268570200686232e-01,-1.204454567882091487e+00,-9.488673144621337929e-01,8.574763074436591026e-01
-5.518394648829433313e-02,1.393014227329713028e+00,4.805853153310520320e-01,-1.227213878285001947e+00,-9.039700574389520904e-01,9.153471913380630820e-01
